station_id,station_name,lat,lon
181,181 - Retiro-Ibiza,40.41825,-3.6766111
182,182 - Parque Roma,40.4186666,-3.6657777
183,183 - Doctor Esquerdo-Hermosilla,40.425635,-3.669339
192,192 - Avenida de los Toreros,40.4318611,-3.6714166
184,184 - MarquÃ©s de Zafra,40.426,-3.6653055
185,185 - Quinta Fuente del Berro,40.4250833,-3.6615277
186,186 - General PardiÃ±as,40.4290555,-3.6782777
187,187 - AlcalÃ¡-Ventas,40.4301666,-3.6638888
188,188 - Puente de Ventas,40.4311944,-3.6590555
190,190 - VelÃ¡zquez-Diego de LeÃ³n,40.4343333,-3.6835833
191,191 - Diego de leÃ³n,40.4346388,-3.674
193,193 - Ventas,40.4324722,-3.6655555
194,194 - Avenida de AmÃ©rica 2,40.43725,-3.6772222
195,195 - Avenida de AmÃ©rica 1,40.4392222,-3.6754444
196,196 - Prosperidad,40.4441388,-3.6751388
197,197 - Parque BerlÃ­n,40.4515833,-3.6780555
198,198 - RubÃ©n DarÃ­o,40.4331111,-3.6915555
207,207 - Remonta,40.4630277,-3.6973333
199,199 - Fernando el CatÃ³lico,40.4343611,-3.7149166
200,200 - Quevedo,40.4336944,-3.7046666
201,201 - Canal,40.4386944,-3.7038333
210,210 - Tres Cruces,40.419674,-3.7026735
202,202 - Parque Santander,40.4411388,-3.7080833
203,203 - San Francisco de Sales,40.44175,-3.7144722
204,204 - Cuatro Caminos 2,40.4476666,-3.7041666
212,212 - MarquÃ©s de Vadillo,40.398247,-3.716591
205,205 - Estrecho,40.4535,-3.7032777
213,213 - Glorieta de CÃ¡diz,40.38895,-3.70017
206,206 - Metro TetuÃ¡n,40.4607502,-3.6989925
208,208 - Plaza de Castilla,40.4663611,-3.6886388
209,209 - Plaza de Castilla 2,40.4656779,-3.6887722
211,211 - DesengaÃ±o,40.42059,-3.70239
222,222 - Antonio LÃ³pez,40.3917871,-3.7026789
214,214 - Condesa de Venadito,40.44315,-3.65741
215,215 - Gutierre de Cetina,40.429706,-3.640994
223,223 - Ermita Santo,40.406837862773465,-3.7244893989507686
216,216 - Puerta del Ãngel,40.413764,-3.728318
225,225 - Doctor Lozano,40.40248333540473,-3.660188083470652
217,217 - Pedro Rico,40.481086,-3.688463
218,218 - Camino Vinateros,40.41053,-3.65779
219,219 - Marroquina,40.408264,-3.646697
220,220 - Plaza del Encuentro,40.40617,-3.65122
221,221 - Pavones,40.400368,-3.634587
230,230 - Carlota OâNeill,40.44370542379883,-3.648958444298144
