simulated_day,method,completed_trips,missed_trips,completion_rate,rebalancing_cost,avg_availability,remaining_bikes,moved_3_4_h,moved_12_13_h
2022-05-11,MARL,27560,2308,92.27,6075,92.9,7704,2870,3205
2022-05-05,MARL,14391,239,98.37,5333,95.12,7704,2742,2591
2022-05-11,MARL,28155,1713,94.26,5401,93.21,7704,2870,2531
2022-05-05,MARL,14444,186,98.73,5291,95.14,7704,2742,2549
2022-05-11,MARL,27961,1907,93.62,5285,93.3,7704,2870,2415
2022-05-05,MARL,14293,337,97.7,5832,94.86,7704,2742,3090
2022-05-11,MARL,27718,2150,92.8,5958,92.96,7704,2870,3088
2022-05-05,MARL,14419,211,98.56,5267,95.16,7704,2742,2525
2022-05-11,MARL,27997,1871,93.74,5422,93.22,7704,2870,2552
2022-05-05,MARL,14381,249,98.3,5240,95.17,7704,2742,2498
2022-05-11,MARL,27986,1882,93.7,5425,93.22,7704,2870,2555
2022-05-05,MARL,14374,256,98.25,5364,95.1,7704,2742,2622
2022-05-11,MARL,27956,1912,93.6,5409,93.23,7704,2870,2539
2022-05-05,MARL,14426,204,98.61,5305,95.13,7704,2742,2563
2022-05-11,MARL,28082,1786,94.02,5371,93.24,7704,2870,2501
2022-05-05,MARL,14366,264,98.2,5538,95.01,7704,2742,2796
2022-05-11,MARL,27864,2004,93.29,5576,93.15,7704,2870,2706
2022-05-05,MARL,14300,330,97.74,6062,94.73,7704,2742,3320
2022-05-11,MARL,27500,2368,92.07,6085,92.91,7704,2870,3215
2022-05-05,MARL,14405,225,98.46,5317,95.12,7704,2742,2575
2022-05-11,MARL,28082,1786,94.02,5430,93.2,7704,2870,2560
