station_id,completed_trips,final_missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage
200,131,0,45,2022-05-05,always_full,131,146,62
201,59,0,17,2022-05-05,underused,59,46,75
210,37,0,30,2022-05-05,underused,37,37,39
202,59,0,36,2022-05-05,underused,59,64,41
203,15,0,38,2022-05-05,underused,15,22,26
204,0,0,30,2022-05-05,underused,0,0,100
212,188,0,59,2022-05-05,busy,188,217,20
205,0,0,30,2022-05-05,underused,0,0,100
213,117,0,38,2022-05-05,always_full,117,125,50
206,55,0,22,2022-05-05,underused,55,47,81
208,46,0,33,2022-05-05,underused,46,49,70
209,50,0,29,2022-05-05,underused,50,49,46
211,54,0,28,2022-05-05,underused,54,52,74
222,50,0,43,2022-05-05,underused,50,63,50
214,27,0,23,2022-05-05,underused,27,20,70
215,0,0,30,2022-05-05,underused,0,0,100
223,113,0,27,2022-05-05,always_full,113,109,55
216,85,0,39,2022-05-05,always_full,85,94,60
225,21,0,37,2022-05-05,underused,21,27,42
217,10,0,30,2022-05-05,underused,10,10,93
218,47,0,38,2022-05-05,underused,47,55,42
219,33,0,34,2022-05-05,underused,33,37,69
220,28,0,29,2022-05-05,underused,28,27,73
221,11,0,37,2022-05-05,underused,11,18,33
230,20,0,29,2022-05-05,underused,20,19,100
224,63,0,37,2022-05-05,underused,63,70,56
226,32,0,35,2022-05-05,underused,32,37,62
228,0,0,30,2022-05-05,underused,0,0,100
235,108,0,33,2022-05-05,always_full,108,110,53
227,35,0,40,2022-05-05,underused,35,45,46
229,49,0,27,2022-05-05,underused,49,46,68
231,16,0,25,2022-05-05,underused,16,11,100
232,28,0,30,2022-05-05,underused,28,28,100
233,43,0,28,2022-05-05,underused,43,41,77
234,24,0,34,2022-05-05,underused,24,28,26
236,93,0,34,2022-05-05,always_full,93,96,21
237,0,0,30,2022-05-05,underused,0,0,100
245,121,0,23,2022-05-05,always_full,121,114,44
238,36,0,22,2022-05-05,underused,34,27,100
239,51,0,20,2022-05-05,underused,51,41,61
240,0,0,30,2022-05-05,underused,0,0,100
248,46,0,29,2022-05-05,underused,46,45,75
241,26,0,34,2022-05-05,underused,26,30,79
242,35,0,28,2022-05-05,underused,35,33,57
243,40,0,36,2022-05-05,underused,40,46,54
244,53,0,16,2022-05-05,underused,53,39,53
246,0,0,30,2022-05-05,underused,0,0,100
254,116,0,51,2022-05-05,always_full,116,137,23
249,23,0,24,2022-05-05,underused,23,17,68
250,13,0,29,2022-05-05,underused,13,12,56
251,45,0,38,2022-05-05,underused,45,53,14
252,18,0,32,2022-05-05,underused,18,20,2
253,26,0,20,2022-05-05,underused,26,16,100
255,21,0,26,2022-05-05,underused,21,17,86
256,70,0,26,2022-05-05,underused,70,66,62
257,51,0,25,2022-05-05,underused,51,46,48
258,28,0,26,2022-05-05,underused,28,24,77
259,51,0,33,2022-05-05,underused,51,54,35
260,31,0,32,2022-05-05,underused,31,33,35
261,29,0,29,2022-05-05,underused,29,28,37
247,28,0,32,2022-05-05,underused,28,30,49
